"","text","created","id","screenName"
"148","Follow our live coverage of Pope Francis' visit to Washington today http://t.co/VjE9yl1sAa",2015-09-23 13:03:47,"646671302699433984","nytimes"
"149","The new iPhones have some high-profile features, but a smarter Siri might steal the spotlight http://t.co/xah7tWrLsz",2015-09-23 12:45:59,"646666823841259520","nytimes"
"150","Creamy mashed potatoes with a subtle Cheddar presence http://t.co/cVoo9NWwqS http://t.co/viOECsPPRP",2015-09-23 12:30:41,"646662973382098944","nytimes"
"151","Why everything is bad for you http://t.co/exrB9Gux4J",2015-09-23 12:14:58,"646659016744173572","nytimes"
"152","Morning Briefing: Here's what you need to know to start your day. http://t.co/O2nzLYL6IO http://t.co/vxLRUGeRNl",2015-09-23 12:00:10,"646655290461581312","nytimes"
"153","As a baseball player, coach and manager, Yogi Berra appeared in a remarkable 21 World Series http://t.co/8BaP2K63tL http://t.co/8JWg0OrmlH",2015-09-23 11:52:28,"646653355838865408","nytimes"
"154","A brief history of the popemobile http://t.co/9Ruh200u9d http://t.co/jTe4Hqfx1x",2015-09-23 11:45:07,"646651505295159296","nytimes"
"155","President Obama will host an elaborate arrival ceremony at the White House for Pope Francis on Wednesday morning http://t.co/9EXnj1dgTA",2015-09-23 11:26:04,"646646711658618880","nytimes"
"156","First Draft: Today in Politics: A First-Time Visitor to Washington Plans to Hit All the Sights http://t.co/xvo7dL8qya",2015-09-23 11:25:12,"646646492418179072","nytimes"
"157",".@TrevorNoah on gearing up to take over ""The Daily Show"" http://t.co/xtkfa4RZ35 http://t.co/FlZKlLyuLE",2015-09-23 11:20:06,"646645208843689984","nytimes"
"158","When Pope Francis speaks, millions listen — be they Muslim, Baptist, Hindu or atheist http://t.co/cUofMSmkck http://t.co/QeHDINAaQV",2015-09-23 11:15:09,"646643961839362048","nytimes"
"159","This is not the first time that Martin Shkreli has been at the center of a controversy http://t.co/OjqVsAb24d http://t.co/WNWfOZ2dja",2015-09-23 11:02:07,"646640682120163329","nytimes"
"160","Starbucks has fallen short on promises to improve worker schedules, according to baristas 
http://t.co/Lhldtplqg9 http://t.co/y6kBqYUry9",2015-09-23 10:55:02,"646638902183333888","nytimes"
"161","Morning Briefing: Here's what you need to know to start your day. http://t.co/IbN691d5ZG http://t.co/xcBL8kjo8Q",2015-09-23 10:48:20,"646637213292326912","nytimes"
"162","Yogi Berra, the Yankees catcher who died Tuesday, was famous for sayings both absurd and wise http://t.co/APti6mbKDF http://t.co/LFkiTXQUSm",2015-09-23 10:33:08,"646633389488009216","nytimes"
"163","“Happy Birthday to You,” copyright invalidated by judge
http://t.co/9xwXqu84hy",2015-09-23 10:32:46,"646633296164704256","nytimes"
